"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs12134151-<b>?</b>,"9 x 10-6",,'-,'-,'-,'-,LINC02607,"Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,1:95736887
rs11883667-<b>?</b>,"2 x 10-6",,'-,'-,'-,'-,AC009505.1,"Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,2:105933971
rs2234671-<b>?</b>,"5 x 10-7",,'-,'-,'-,'-,CXCR1,"Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,2:218164385
rs55652507-<b>?</b>,"3 x 10-7",,'-,'-,'-,'-,"AC008725.1, RNA5SP199","Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,5:155502654
rs185197019-<b>?</b>,"6 x 10-6",,'-,'-,'-,'-,"KCNB2, AC011131.1","Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,8:72537054
rs79060400-<b>?</b>,"2 x 10-6",,'-,'-,'-,'-,OR9G1,"Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,11:56701218
rs35342385-<b>?</b>,"5 x 10-6",,'-,'-,'-,'-,"AP003038.1, AP001317.1","Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,11:98135040
rs200288366-<b>?</b>,"6 x 10-7",,'-,'-,'-,'-,"AC018630.2, TAS2R14, PRH1, TAS2R45","Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,12:11092003
rs78550087-<b>?</b>,"2 x 10-6",,'-,'-,'-,'-,"AC091214.1, AC089998.1","Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,12:82669637
rs9578751-<b>?</b>,"1 x 10-7",,'-,'-,'-,'-,"TPTE2P6, PARP4","Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,13:24500352
rs1007175-<b>?</b>,"1 x 10-6",,'-,'-,'-,'-,TULP3P1,"Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,13:96960285
rs4899973-<b>?</b>,"1 x 10-6",,'-,'-,'-,'-,FOXN3,"Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,14:89272011
rs4778107-<b>?</b>,"4 x 10-6",,'-,'-,'-,'-,"AC108457.1, RGMA","Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,15:93130510
rs12945036-<b>?</b>,"1 x 10-6",,'-,'-,'-,'-,RPH3AL,"Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,17:230930
rs79642714-<b>?</b>,"2 x 10-7",,NR,'-,'-,'-,FAM8A1,"Idiopathic intracranial hypertension","pseudotumor cerebri",GCST005688,6:17605974
rs71427857-<b>A</b>,"8 x 10-9",,0.042,5.759,'-,'-,"DNAJC10, PDE1A","Pulmonary arterial hypertension","pulmonary arterial hypertension",GCST004947,2:182633113
rs10946177-<b>?</b>,"4 x 10-6",,'-,'-,"0.099 unit increase",[NR],RPS6KA2,"Café-au-lait macule number in neurofibromatosis type1","Neurofibromatosis type 1, Cafe-au-lait spot",GCST011464,6:166605233
rs1951646-<b>?</b>,"8 x 10-6",,'-,'-,"0.073 unit increase",[NR],TTC6,"Café-au-lait macule number in neurofibromatosis type1","Neurofibromatosis type 1, Cafe-au-lait spot",GCST011464,14:37677543
rs11249906-<b>?</b>,"6 x 10-8",,NR,'-,'-,'-,AC022784.1,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,8:9185097
rs11998678-<b>?</b>,"6 x 10-8",,NR,'-,'-,'-,"AC107918.6, DEFB136","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,8:11972641
rs7115856-<b>?</b>,"7 x 10-8",,NR,'-,'-,'-,"AC068205.2, HSD17B12","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,11:43747737
rs142076278-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,"LINC01571, C16orf97","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,16:51794418
rs2867695-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,"RPSAP39, ANTXR2","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,4:80152066
rs1242765-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,UNC79,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,14:93466459
rs2251473-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,"MTMR9, AF131216.1","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,8:11319617
rs2341599-<b>?</b>,"1 x 10-7",,NR,'-,'-,'-,AC107208.1,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,4:155512156
rs8184986-<b>?</b>,"2 x 10-7",,NR,'-,'-,'-,CHEK2,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,22:28731236
rs2304615-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,REXO1,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,19:1826113
rs752520449-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,AC090630.1,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,12:41873692
rs10838835-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,"OR4B1, OR4B2P","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,11:48224905
rs7763581-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"GMDS, FOXC1","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,6:1614132
rs73094438-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"HERPUD2, AC018647.3","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,7:35626068
rs2814949-<b>?</b>,"9 x 10-9",,NR,'-,'-,'-,ILRUN,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,6:34688945
rs76702537-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,"LINC02468, AC129102.1","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,12:20215387
rs9932220-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"RN7SKP142, LINC01571","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,16:51724205
rs10828266-<b>?</b>,"1 x 10-8",,NR,'-,'-,'-,DNAJC1,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,10:21809772
rs2725371-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,PURG,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,8:30996517
rs9683944-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,"PCDH18, RPS23P2","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,4:137512008
rs2282143-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,SLC22A1,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,6:160136611
rs4678408-<b>?</b>,"9 x 10-9",,NR,'-,'-,'-,"NME9, MRAS","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,3:138334345
rs10756197-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"AL451129.1, AKAP8P1","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,9:11178030
rs433750-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"AC094104.2, AC010230.1","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,5:114760905
rs11657730-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,BAHCC1,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,17:81398689
rs10067451-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,LINC00461,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,5:88646688
rs35275911-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"AC211433.1, GTF2I","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,7:74693917
rs13062241-<b>?</b>,"5 x 10-9",,NR,'-,'-,'-,FGD5,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,3:14881723
rs2046301-<b>?</b>,"3 x 10-8",,NR,'-,'-,'-,"OR4C4P, OR4C3","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,11:48341825
rs2517521-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,HCG22,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,6:31059559
rs28724242-<b>?</b>,"4 x 10-8",,NR,'-,'-,'-,HLA-DQB1,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,6:32661554
rs9603420-<b>?</b>,"2 x 10-8",,NR,'-,'-,'-,"AL161616.1, RXFP2","Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,13:31642770
rs11857726-<b>?</b>,"5 x 10-8",,NR,'-,'-,'-,CHP1,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,15:41238161
rs12902197-<b>?</b>,"6 x 10-8",,NR,'-,'-,'-,MIR4713HG,"Essential hypertension (time to event)","age at diagnosis, primary hypertension",GCST010774,15:51139461
rs11749255-<b>A</b>,"3 x 10-7",,0.69,1.098901,'-,[NR],"HIGD1AP3, MSX2","Resistant hypertension","treatment-resistant hypertension",GCST007135,5:174642665
rs12228810-<b>C</b>,"9 x 10-6",,0.88,1.0869565,'-,[NR],"AC122688.1, BRI3BP","Resistant hypertension","treatment-resistant hypertension",GCST007135,12:125055560
rs16934621-<b>A</b>,"5 x 10-6",,0.08,1.43,'-,[NR],BNC2,"Resistant hypertension","treatment-resistant hypertension",GCST007135,9:16414758
rs3766160-<b>A</b>,"1 x 10-6",,0.74,1.0869565,'-,[NR],CELA2B,"Resistant hypertension","treatment-resistant hypertension",GCST007135,1:15482377
rs11749255-<b>A</b>,"4 x 10-8",,'-,1.6,'-,[1.30-1.90],"HIGD1AP3, MSX2","Resistant hypertension","treatment-resistant hypertension",GCST007136,5:174642665
rs6487504-<b>A</b>,"2 x 10-7",,'-,1.81,'-,[1.40-2.30],"RN7SKP262, LMNTD1","Resistant hypertension","treatment-resistant hypertension",GCST007136,12:25654374
rs324498-<b>A</b>,"1 x 10-6",,'-,1.62,'-,[1.30-2.0],PTPRD,"Resistant hypertension","treatment-resistant hypertension",GCST007136,9:9059545
rs6453204-<b>?</b>,"6 x 10-8",,NR,3.3,'-,[NR],SV2C,"Response to chemotherapy in breast cancer (hypertension) (bevacizumab)","response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002567,5:76143375
rs130318-<b>?</b>,"4 x 10-6",,NR,1.72,'-,[NR],PARVB,"Response to chemotherapy in breast cancer (hypertension) (bevacizumab)","response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002567,22:44080184
rs1943466-<b>?</b>,"1 x 10-6",,NR,1.82,'-,[NR],GRAMD1B,"Response to chemotherapy in breast cancer (hypertension) (bevacizumab)","response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002567,11:123393934
rs6453204-<b>?</b>,"5 x 10-8",,NR,2.2,'-,[NR],SV2C,"Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)","cumulative dose response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002566,5:76143375
rs130318-<b>?</b>,"4 x 10-7",,NR,1.7,'-,[NR],PARVB,"Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)","cumulative dose response to bevacizumab, chemotherapy-induced hypertension, breast carcinoma",GCST002566,22:44080184
rs1943466-<b>?</b>,"6 x 10-7",,NR,1.69,'-,[NR],GRAMD1B,"Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)","cumulative dose response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002566,11:123393934
rs11685222-<b>?</b>,"4 x 10-6",,NR,1.98,'-,[NR],"PTPN4, RPL27P7","Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)","cumulative dose response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002566,2:119990995
rs12467348-<b>?</b>,"9 x 10-6",,NR,2.05,'-,[NR],KCNS3,"Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)","cumulative dose response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002566,2:18106253
rs3773651-<b>?</b>,"7 x 10-6",,NR,2.15,'-,[NR],TGFBR2,"Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)","cumulative dose response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002566,3:30677040
rs2731620-<b>?</b>,"7 x 10-6",,NR,1.59,'-,[NR],"RNU1-146P, AC024901.1","Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)","cumulative dose response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002566,12:19774866
rs6878584-<b>?</b>,"7 x 10-6",,NR,2.27,'-,[NR],"NSG2, AC025752.1","Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)","cumulative dose response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002566,5:174280232
rs2496589-<b>?</b>,"5 x 10-6",,NR,1.7,'-,[NR],"AL031320.1, ADAT2","Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)","cumulative dose response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002566,6:143412439
rs1962073-<b>?</b>,"2 x 10-6",,NR,1.69,'-,[NR],MSRA,"Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)","cumulative dose response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002566,8:10403043
rs11786541-<b>?</b>,"2 x 10-6",,NR,1.65,'-,[NR],"AC034111.2, LINC00599","Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)","cumulative dose response to bevacizumab, breast carcinoma, chemotherapy-induced hypertension",GCST002566,8:9932039
